distance, 11ac, 11ad, 11ad_gal
0.000000000000000000e+00,4.000000000000000222e-01,1.800000000000000044e+00,1.800000000000000044e+00
1.000000000000000000e+03,4.000000000000000222e-01,1.800000000000000044e+00,9.010000000000000231e-01
2.000000000000000000e+03,4.000000000000000222e-01,1.500000000000000000e+00,3.750000000000000000e-01
3.000000000000000000e+03,3.599999999999999867e-01,9.759999999999999787e-01,0.000000000000000000e+00
4.000000000000000000e+03,2.999999999999999889e-01,9.759999999999999787e-01,0.000000000000000000e+00
5.000000000000000000e+03,2.999999999999999889e-01,9.010000000000000231e-01,0.000000000000000000e+00
6.000000000000000000e+03,2.700000000000000178e-01,9.010000000000000231e-01,0.000000000000000000e+00
7.000000000000000000e+03,2.700000000000000178e-01,7.510000000000000009e-01,0.000000000000000000e+00
8.000000000000000000e+03,2.399999999999999911e-01,4.500000000000000111e-01,0.000000000000000000e+00
9.000000000000000000e+03,2.399999999999999911e-01,4.500000000000000111e-01,0.000000000000000000e+00
1.000000000000000000e+04,2.399999999999999911e-01,3.750000000000000000e-01,0.000000000000000000e+00
1.100000000000000000e+04,1.799999999999999933e-01,3.750000000000000000e-01,0.000000000000000000e+00
1.200000000000000000e+04,1.799999999999999933e-01,3.750000000000000000e-01,0.000000000000000000e+00
1.300000000000000000e+04,1.799999999999999933e-01,1.499999999999999944e-01,0.000000000000000000e+00
1.400000000000000000e+04,1.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+04,1.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+04,8.999999999999999667e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+04,8.999999999999999667e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+04,5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+04,5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00
