mgb,ratio25_cs50,ratio25_cs100,ratio25_cs200,ratio50_cs50,ratio50_cs100,ratio50_cs200,ratio100_cs50,ratio100_cs100,ratio100_cs200
10,3.25770444066974,3.4958601655933763,3.655723158828749,3.1586849598757443,3.4423737126042178,3.626103111936832,3.0222015935638584,3.292401370036788,3.5635866865375063
20,3.25770444066974,3.502759889604416,3.721384205856256,3.1586849598757443,3.4553702795487986,3.750580585229912,3.0222015935638584,3.309273119370798,3.81892697466468
30,3.263528269837418,3.512419503219871,4.582963620230701,3.1665803779446025,3.484796468857283,4.69019972131909,3.032025992109538,3.3530381834327034,4.851217088922007
40,3.266925503518564,3.6476540938362474,5.819875776397516,3.170981102769868,3.7506130456105935,6.012540640966094,3.036667440241356,3.708232906253964,6.446597118728266
50,3.2700800776510555,3.885004599816008,7.1144631765749775,3.181982914833031,4.153997057381069,7.366000928936367,3.054537015548852,4.25053913484714,7.938152011922503
60,3.3001698616840573,4.621435142594296,8.42413487133984,3.2227543360082835,4.787886218734674,8.698560148629818,3.110621180474975,4.825066599010529,9.324143070044707
70,3.314001455957292,5.368905243790248,9.830523513753327,3.240227802226249,5.604708190289357,10.085926614026938,3.138779299141332,5.61702397564379,10.845504222553403
80,3.5971851492356226,5.90984360625575,11.12866015971606,3.6004400724825265,6.325404610102992,11.388759869948908,3.546839947396921,6.377901814030191,12.327372081470442
90,3.7959233195826254,6.535878564857406,12.438331854480923,3.7978255242039856,7.064982834722904,12.818392940083603,3.746654289471648,7.153494862362045,13.743417784401393
100,3.905120116476583,7.183992640294388,13.708961845607808,4.030157908361377,7.741539970573811,14.149094287041338,4.048271060570898,7.880629202080426,15.28862394436165
