mgb,sum_min_25_802.11ac,sum_min_50_802.11ac,sum_min_100_802.11ac,sum_min_25_802.11ad_pro,sum_min_50_802.11ad_pro,sum_min_100_802.11ad_pro,sum_max_25_802.11ac,sum_max_50_802.11ac,sum_max_100_802.11ac,sum_max_25_802.11ad_pro,sum_max_50_802.11ad_pro,sum_max_100_802.11ad_pro,sum_sat_min_25_802.11ac,sum_sat_min_50_802.11ac,sum_sat_min_100_802.11ac,sum_sat_min_25_802.11ad_pro,sum_sat_min_50_802.11ad_pro,sum_sat_min_100_802.11ad_pro,sum_sat_max_25_802.11ac,sum_sat_max_50_802.11ac,sum_sat_max_100_802.11ac,sum_sat_max_25_802.11ad_pro,sum_sat_max_50_802.11ad_pro,sum_sat_max_100_802.11ad_pro
5,29.50509983175892,19.93386487297145,14.586391892776764,,,,37.08101830405914,25.539759451357483,18.703417647927395,,,,15.546339515393601,12.941263769009439,10.371037848678318,,,,19.765353344371132,16.43439596070976,13.137230341161063,,,
10,30.230642384830134,21.08780207110378,15.7130762944983,35.21862393520185,26.40268140482084,20.82883893452188,38.05742255800583,26.913302282270088,20.053997985767925,46.291193434490296,34.82659018353591,27.268165110514296,15.586224562275357,12.995504675036173,10.433137100779714,20.76612452435506,17.795397182812266,14.579124023794025,19.827547590065198,16.51945279620965,13.23472519872108,27.43394459885449,23.434719803877663,19.08257627347069
20,32.748639935238444,23.43925759974821,18.59594398218654,37.43756545296717,28.57973581480956,23.58512084807309,41.11588052227559,29.7785184769333,23.444154351059417,48.89552271732588,37.38536610172102,30.40528216731007,15.821946268066755,13.232307063712046,10.667075668786286,20.76612452435506,17.795397182812266,14.579124023794025,20.1962262930178,16.890999475878555,13.602571714877714,27.43394459885449,23.434719803877663,19.08257627347069
30,36.23605695566724,26.22388485130912,19.982668690913695,40.58681864240472,31.101909365770524,24.848436245148378,45.1821430812714,33.10538358369232,25.36149413500664,52.42948184362335,40.28346653970159,32.04472934444215,16.130494845889757,13.530292140289985,10.95434385858473,20.76764911782207,17.797674350900873,14.581820188155675,20.679297669978606,17.358387174597457,14.053969473586651,27.43640261208956,23.438372810135093,19.086892955880913
40,37.85308128235732,29.44218768392322,21.758547848511,41.43328748029555,33.06042703761591,25.627305141502315,47.42541068247577,36.90508705058518,27.71106168031321,54.87023646907333,43.57425495142789,33.92009818247533,16.504713799376784,13.886451654919082,11.293545686280192,19.570177589828713,16.852761184474854,13.878455374158843,21.26549144024558,17.916930948479564,14.586873912319863,27.44106347460231,23.44422811504854,19.09315926461496
50,,,,44.32244802656476,35.11307279910454,27.82097419512386,,,,56.92133050288909,45.047521716835774,35.78564042401439,,,,20.77427576974419,17.805841729411785,14.594461474806828,,,,27.447015321234773,23.451407925054166,19.10704844285941
60,,,,46.97697334321208,36.25378969523172,29.11236786947402,,,,59.98681437435112,46.57188661432997,37.471357941398175,,,,20.785543818036345,17.81866788620525,14.61262241702226,,,,27.465072121358702,23.471918503436736,19.1360557980645
70,,,,48.82916389850102,37.03037904045604,30.387065509804906,,,,63.41894384596888,48.692068182500535,39.85011828380517,,,,19.597139025753652,16.881634222053187,13.921529862655325,,,,27.484263623383406,23.49035963431729,19.16190595736038
80,,,,51.69069307226604,38.24468222252828,31.94400259567233,,,,66.71351222270758,50.32590029698693,41.83408050028456,,,,19.646286217125308,16.94646551966131,13.999133831483233,,,,27.562866725605232,23.594046645779326,19.28601483782832
90,,,,52.872120764834925,39.437946490465805,33.19451727022838,,,,68.30372479275727,51.93311991670557,43.50195264856602,,,,19.703013523516166,17.006038858012296,14.059860831869617,,,,27.653478780750902,23.689678359382572,19.38339207851123
100,,,,55.22493177906266,41.973824725136,35.5095835262656,,,,69.85120096273799,53.91164656470488,45.51820013754028,,,,20.944122166222463,17.9990272625916,14.8267520737338,,,,27.718685122036383,23.76060365768647,19.478628616679668
