mgb,25_802.11ac_max,25_802.11ad_pro_max,50_802.11ac_max,50_802.11ad_pro_max,100_802.11ac_max,100_802.11ad_pro_max
10,38.05742255800583,46.291193434490296,26.913302282270088,34.82659018353591,20.053997985767925,27.268165110514296
20,41.11588052227559,48.89552271732588,29.7785184769333,37.38536610172102,23.444154351059417,30.40528216731007
30,45.1821430812714,52.42948184362335,33.10538358369232,40.28346653970159,25.36149413500664,32.04472934444215
40,47.42541068247577,54.87023646907333,36.90508705058518,43.57425495142789,27.71106168031321,33.92009818247533
50,,56.92133050288909,,45.047521716835774,,35.78564042401439
60,,59.98681437435112,,46.57188661432997,,37.471357941398175
70,,63.41894384596888,,48.692068182500535,,39.85011828380517
80,,66.71351222270758,,50.32590029698693,,41.83408050028456
90,,68.30372479275727,,51.93311991670557,,43.50195264856602
100,,69.85120096273799,,53.91164656470488,,45.51820013754028
