mgb,25_802.11ac_min,25_802.11ad_pro_min,50_802.11ac_min,50_802.11ad_pro_min,100_802.11ac_min,100_802.11ad_pro_min
10,30.230642384830134,35.21862393520185,21.08780207110378,26.40268140482084,15.7130762944983,20.82883893452188
20,32.748639935238444,37.43756545296717,23.43925759974821,28.57973581480956,18.59594398218654,23.58512084807309
30,36.23605695566724,40.58681864240472,26.22388485130912,31.101909365770524,19.982668690913695,24.848436245148378
40,37.85308128235732,41.43328748029555,29.44218768392322,33.06042703761591,21.758547848511,25.627305141502315
50,,44.32244802656476,,35.11307279910454,,27.82097419512386
60,,46.97697334321208,,36.25378969523172,,29.11236786947402
70,,48.82916389850102,,37.03037904045604,,30.387065509804906
80,,51.69069307226604,,38.24468222252828,,31.94400259567233
90,,52.872120764834925,,39.437946490465805,,33.19451727022838
100,,55.22493177906266,,41.973824725136,,35.5095835262656
