type,cluster_size,ratio,antennae
gw,50,25,3.3001698616840573
gw,50,50,3.2227543360082835
gw,50,100,3.110621180474975
gw,100,25,4.621435142594296
gw,100,50,4.787886218734674
gw,100,100,4.825066599010529
gw,200,25,8.42413487133984
gw,200,50,8.698560148629818
gw,200,100,9.324143070044709
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.081957637800117
relay,50,50,2.0328078483086576
relay,50,100,1.958096207529419
relay,100,25,2.241848768643774
relay,100,50,2.221834568978049
relay,100,100,2.1713030927326336
relay,200,25,2.3909406300710647
relay,200,50,2.3716091135635455
relay,200,100,2.353568664801476
